"region","median","mean","range","median.2","median.3","median.4","mean.2","mean.3","mean.4","range.2","range.3","range.4"
"Western Europe",0.57126065,0.645655670462963,"0.011603975,2.3396572",0.072190853957629,0.0780592395743296,0.0895586783978999,0.07155419079534,0.0770595374387587,0.0882447352577165,"0.0360633664439278,0.09603586074686","0.0383033437110377,0.105959530139805","0.0423927860771755,0.135851097036927"
"Australia and New Zealand",0.15267963,0.208240798046794,"8.0142566e-06,0.86349946",0.0315028680210321,0.0391690439302839,0.0476163808103603,0.0331971637781606,0.040255724553781,0.0543057636066886,"0.0158531077209766,0.0571404348805436","0.0180587136936196,0.0709896413385631","0.0188920019303763,0.124866486712892"
"Northern Europe",0.144299785,0.419661243153906,"0.00034803168,2.3848004",0.0555086372531067,0.0616270913787369,0.071310913797,0.0558207772961091,0.061431869658333,0.0730146805225784,"0.0308566513224145,0.0854012240954314","0.0348885424582365,0.098678430996655","0.042038254806541,0.126669215661234"
"Southern Europe",0.134217345,0.206948324059615,"0.0024943609,0.99210823",0.0405023771047865,0.0476333199720988,0.063352542493244,0.0447625774984906,0.0511938323321948,0.0666311294342696,"0.0108319802928661,0.0834868971840061","0.0109729373008143,0.0912263897117869","0.0112013530704055,0.14654202736414"
"Central Asia",0.12978762,0.158606132942564,"0.0003102236,0.56595423",0.0342292309501752,0.0382474796612217,0.0454772669174826,0.0409365581226866,0.0452257176510915,0.0553818755767575,"0.0202910023789624,0.0913932674432431","0.022051829370413,0.105545547595064","0.024586637166627,0.192208859773556"
"Eastern Europe",0.11806868,0.175541785739604,"0.00037152155,1.0844018",0.0475708810614587,0.0536559524207589,0.0650827488740157,0.0517901206502126,1.7707192011323,2.89264458767125,"0.0195493235922551,0.122657829972147","0.0213066140877997,157.779461222035","0.023134206545279,172.651949480067"
"Western Asia",0.11300709,0.219045838486,"0.0014947886,1.8610191",0.0503671655001657,0.0615720979517928,0.0937008876118463,0.0503509196191786,0.062879488667578,7.68621147365889,"0.00769649714447124,0.11400914547856","0.00823828658834473,0.181250794048034","0.00895952903649567,146.233105430301"
"Southern Asia",0.05523301,0.237488670719801,"2.1113597e-06,3.9624689",0.0247019945383815,0.0274719571842803,0.0302512972846995,0.0288232054120583,0.234222924379426,1.62024790701859,"0.00364151907589682,0.192849029636172","0.00384113933691187,76.5466502882153","0.00407483881255784,227.780138565992"
"Northern America",0.038675788,0.151325582587042,"4.3476176e-07,1.3830669",0.0608234100715054,0.06663397806402,0.0786095906565216,0.07089666693612,0.0816421610357094,2.14399395774768,"0.0117875089837678,0.222933968194669","0.012333239868992,0.396702944811779","0.0129965563703286,573.720233034706"
"Eastern Asia",0.013050302,0.144879652383324,"7.1459181e-13,2.7299695",0.047420062954775,0.0596363010871561,0.0945709824611178,0.0517455759518413,3.48779183021341,23.8134390720431,"0.00918361830056946,0.345551867717918","0.00991007157913576,516.876881082275","0.010777746853416,1464.10423781458"
"Northern Africa",0.007773567,0.150417709763804,"7.419188e-05,2.3142364",0.0290098588797338,0.0284532040923613,0.0271946432543739,0.033839468813598,0.035983022370544,0.0396682703320189,"0.00959339179059057,0.128799901870544","0.0102980322039194,0.142768976356524","0.0111964848254878,0.161978029664594"
"South America",0.00193847175,0.0436033598594931,"3.2764438e-12,0.71671852",0.0231912211731369,0.0230115634860457,0.0230138707483895,0.0246068048225936,0.0241289199479778,0.0426154635481219,"0.00475437803414161,0.0818062775860452","-0.0019653641866576,0.083330763904692","-0.0525456848692017,7.80381223145118"
"Central America",0.0011725077,0.0249250972801599,"5.8645266e-08,0.75762374",0.0353565159590478,0.0353046400872071,0.0320709838007923,0.0460413249422299,0.0473126670395118,0.0495163999279135,"0.00503267151659976,0.155139134104988","0.00500369493333329,0.180412606733451","0.00497153699014736,0.225636910945082"
"South-Eastern Asia",0.0003587985,0.00186488908463778,"1.8127835e-06,0.054128903",0.0136792073835709,0.0142007562703456,0.014445807058907,0.0161091671218658,0.0166550501875634,0.0175807936846029,"0.00659068218777044,0.0664244672784254","0.0064008665788044,0.0829169098591345","0.00619097909858215,0.124871674118024"
"Eastern Africa",0.00033935031,0.00477764458335968,"1.7610249e-06,0.1624756",0.0293511201555485,0.0279886077232757,0.0258426456005941,0.0405465449030366,0.0398446570640128,0.0389732719038206,"0.00237900957390194,0.143172645589781","0.00238096455877796,0.143701655403554","0.00238334807318598,0.144315426344542"
"Southern Africa",0.00021701951,0.0136234397001254,"5.3486667e-07,0.49721526",0.0427500482795655,0.044740528150852,0.0451186726514926,0.055066325213488,0.0559453824035612,0.057064560514225,"0.00341084855421605,0.12024044551332","0.00326140625145487,0.120362256717284","0.00308513068823145,0.12050593032196"
"Western Africa",0.00011975475,0.000845089746757143,"1.7680681e-06,0.011603142",0.0303975445280756,0.0304159670578103,0.0299936747137057,0.0293821425423481,0.0297221758500454,0.0301155871740635,"0.00917542277104418,0.0435150895629638","0.00906902270893638,0.0444180225631596","0.00894735282488248,0.0457943212338898"
"Middle Africa",6.41787445e-05,0.000218575604505926,"4.7249309e-07,0.0098325755",0.0269222981595865,0.0253652158920044,0.0241508937363854,0.0269130319861503,0.0260328936410263,0.0249742623297257,"0.00353627447301975,0.089253416870005","0.00337974774870197,0.0855166964656532","0.00319072010636944,0.0810934221948274"
